"...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16"
1.00634921,1.02998117,0.8826497,0.73156278,0.64713965,0.71247105,0.64495283,0.46309558,0.2890216,0.21398003,0.21143071,0.21539459,0.17879958,0.12121018,0.07456579,0.0483078
0.80688055,2.86309524,2.66823164,0.96792157,0.42315851,0.4490503,0.46817091,0.41591386,0.28888977,0.21210348,0.18205934,0.18577146,0.17723091,0.14018678,0.09303137,0.06624166
0.65932869,2.54423464,3.76595745,1.86472613,0.57954333,0.41340036,0.45217888,0.53605844,0.37523671,0.2506456,0.20690987,0.20755736,0.19338778,0.17677407,0.13570702,0.09627556
0.61650145,1.04122049,2.10370074,2.5483871,1.0703836,0.57545521,0.53639202,0.64460432,0.44100176,0.29726784,0.26718794,0.26415439,0.2289974,0.22533767,0.18172816,0.11192552
0.94671441,0.79021286,1.13499329,1.85813782,1.36263736,0.96855059,0.75152547,0.7231662,0.47390886,0.36250647,0.33283635,0.31036203,0.28055593,0.25372342,0.19907745,0.12271771
1.09133801,0.87802541,0.84771392,1.04597447,1.01412944,1.13114754,0.88479212,0.70698414,0.42544081,0.32998454,0.29703284,0.29944293,0.27133269,0.22461745,0.15252661,0.10140896
1.26847218,1.17537773,1.19055556,1.25185147,1.01035902,1.13606239,1.11864407,1.03193193,0.59258218,0.40524149,0.3557795,0.36444989,0.34061876,0.24867124,0.16440618,0.10193445
0.97564796,1.11852561,1.51189298,1.61151079,1.04145294,0.97238919,1.10540281,1.22077922,0.75602087,0.48488062,0.41997888,0.40853615,0.35786368,0.2757906,0.17728817,0.10541939
0.95996461,1.22483369,1.66846322,1.73813192,1.07596654,0.92251197,1.00073827,1.19189005,0.8627451,0.62893082,0.48786518,0.43402255,0.37815447,0.31111233,0.20700536,0.11705296
0.79600571,1.00718853,1.2482151,1.31222519,0.92180218,0.80139104,0.76648533,0.85616063,0.70440252,0.54901961,0.44617806,0.38260736,0.35186299,0.29788327,0.21483543,0.12032477
0.84442572,0.92816754,1.10626966,1.26627414,0.90866366,0.77447213,0.72247248,0.79615628,0.58663543,0.47902553,0.41666667,0.40663438,0.39683494,0.33104856,0.24193888,0.15865216
0.90174841,0.99277224,1.16325558,1.31227825,0.88817431,0.81841315,0.77577436,0.81181781,0.54706379,0.43058706,0.42624697,0.48275862,0.48411929,0.38247683,0.28078757,0.21047185
0.82260442,1.04084021,1.19107741,1.25018013,0.88231369,0.81495686,0.79678311,0.78148323,0.52380407,0.43516625,0.45713141,0.53201802,0.56666667,0.44927287,0.34706834,0.25868887
0.69522314,1.02638952,1.3573445,1.53368592,0.99477464,0.84107856,0.72519982,0.7508308,0.53725125,0.45929138,0.47542657,0.52401011,0.5601067,0.47058824,0.37237465,0.33278796
0.59197963,0.94279356,1.44230087,1.71201226,1.08035931,0.79053426,0.66363958,0.66807372,0.49479331,0.45849026,0.48092729,0.53246912,0.59890452,0.515421,0.45454545,0.3834222
0.55660848,0.97428006,1.48502921,1.53030903,0.9665377,0.76281073,0.5971735,0.57654143,0.40605982,0.37268734,0.45770446,0.57926325,0.64786681,0.66852094,0.55647116,0.4
